ticker,name,sector,fetch_date,source
MEBL,Meezan Bank Limited,Commercial Banks,2026-09-08,config/kse30_constituents.yaml (manual fallback)
HBL,Habib Bank Limited,Commercial Banks,2026-09-08,config/kse30_constituents.yaml (manual fallback)
UBL,United Bank Limited,Commercial Banks,2026-09-08,config/kse30_constituents.yaml (manual fallback)
MCB,MCB Bank Limited,Commercial Banks,2026-09-08,config/kse30_constituents.yaml (manual fallback)
BAFL,Bank Alfalah Limited,Commercial Banks,2026-09-08,config/kse30_constituents.yaml (manual fallback)
OGDC,Oil and Gas Development Company,Oil and Gas Exploration,2026-09-08,config/kse30_constituents.yaml (manual fallback)
PPL,Pakistan Petroleum Limited,Oil and Gas Exploration,2026-09-08,config/kse30_constituents.yaml (manual fallback)
MARI,Mari Petroleum,Oil and Gas Exploration,2026-09-08,config/kse30_constituents.yaml (manual fallback)
POL,Pakistan Oilfields Limited,Oil and Gas Exploration,2026-09-08,config/kse30_constituents.yaml (manual fallback)
FFC,Fauji Fertilizer Company,Fertilizer,2026-09-08,config/kse30_constituents.yaml (manual fallback)
EFERT,Engro Fertilizers,Fertilizer,2026-09-08,config/kse30_constituents.yaml (manual fallback)
FATIMA,Fatima Fertilizer,Fertilizer,2026-09-08,config/kse30_constituents.yaml (manual fallback)
LUCK,Lucky Cement,Cement,2026-09-08,config/kse30_constituents.yaml (manual fallback)
MLCF,Maple Leaf Cement,Cement,2026-09-08,config/kse30_constituents.yaml (manual fallback)
FCCL,Fauji Cement,Cement,2026-09-08,config/kse30_constituents.yaml (manual fallback)
DGKC,D.G. Khan Cement,Cement,2026-09-08,config/kse30_constituents.yaml (manual fallback)
KOHC,Kohat Cement,Cement,2026-09-08,config/kse30_constituents.yaml (manual fallback)
HUBC,Hub Power Company,Power Generation,2026-09-08,config/kse30_constituents.yaml (manual fallback)
KAPCO,Kot Addu Power,Power Generation,2026-09-08,config/kse30_constituents.yaml (manual fallback)
PSO,Pakistan State Oil,Oil and Gas Marketing,2026-09-08,config/kse30_constituents.yaml (manual fallback)
APL,Attock Petroleum,Oil and Gas Marketing,2026-09-08,config/kse30_constituents.yaml (manual fallback)
SYS,Systems Limited,Technology,2026-09-08,config/kse30_constituents.yaml (manual fallback)
TRG,TRG Pakistan,Technology,2026-09-08,config/kse30_constituents.yaml (manual fallback)
AVN,Avanceon,Technology,2026-09-08,config/kse30_constituents.yaml (manual fallback)
INDU,Indus Motor Company,Automobile,2026-09-08,config/kse30_constituents.yaml (manual fallback)
MTL,Millat Tractors,Automobile,2026-09-08,config/kse30_constituents.yaml (manual fallback)
NESTLE,Nestle Pakistan,Food and Personal Care,2026-09-08,config/kse30_constituents.yaml (manual fallback)
PKGS,Packages Limited,Paper and Board,2026-09-08,config/kse30_constituents.yaml (manual fallback)
EPCL,Engro Polymer,Chemicals,2026-09-08,config/kse30_constituents.yaml (manual fallback)
LOTCHEM,Lotte Chemical,Chemicals,2026-09-08,config/kse30_constituents.yaml (manual fallback)
