,Portfolio_Value,Cumulative_Invested,Profit_Loss
2025-01-31,50000.0,50000,0.0
2025-02-28,100523.24584599267,100000,523.2458459926711
2025-03-31,151575.213262285,150000,1575.2132622849895
2025-04-30,203161.43527618385,200000,3161.4352761838527
2025-05-31,255287.5028176673,250000,5287.502817667293
2025-06-30,307959.06532533106,300000,7959.065325331059
2025-07-31,361181.83135867637,350000,11181.831358676369
2025-08-31,414961.5692168054,400000,14961.569216805394
2025-09-30,469304.1075635913,450000,19304.10756359127
2025-10-31,524215.3360593902,500000,24215.336059390218
2025-11-30,579701.2059993647,550000,29701.205999364727
2025-12-31,635767.7309584869,600000,35767.73095848691
2026-01-31,692420.9874432912,650000,42420.98744329123
2026-02-28,749667.1155504482,700000,49667.11555044819
2026-03-31,807512.3196322297,750000,57512.319632229744
2026-04-30,865962.8689689392,800000,65962.86896893918
2026-05-31,925025.098448377,850000,75025.09844837699
2026-06-30,984705.4092524184,900000,84705.40925241844
2026-07-31,1045010.2695507753,950000,95010.2695507753
2026-08-31,1105946.2152020177,1000000,105946.21520201769
2026-09-30,1167519.850461933,1050000,117519.85046193306
2026-10-31,1229737.8486992968,1100000,129737.84869929682
2026-11-30,1292606.9531191343,1150000,142606.9531191343
2026-12-31,1356133.9774935509,1200000,156133.97749355086
2027-01-31,1420325.8069002111,1250000,170325.80690021114
2027-02-28,1485189.3984685456,1300000,185189.39846854564
2027-03-31,1550731.782133766,1350000,200731.78213376598
2027-04-30,1616960.061398772,1400000,216960.06139877206
2027-05-31,1683881.4141040312,1450000,233881.41410403117
2027-06-30,1751503.093205515,1500000,251503.09320551506
2027-07-31,1819832.427560777,1550000,269832.42756077694
2027-08-31,1888876.8227232557,1600000,288876.8227232557
2027-09-30,1958643.7617448913,1650000,308643.7617448913
2027-10-31,2029140.8059871406,1700000,329140.80598714063
2027-11-30,2100375.5959404805,1750000,350375.5959404805
2027-12-31,2172355.852052485,1800000,372355.8520524851
2028-01-31,2245089.375564572,1850000,395089.37556457194
2028-02-29,2318584.049357501,1900000,418584.04935750086
2028-03-31,2392847.8388057244,1950000,442847.8388057244
2028-04-30,2467888.792640677,2000000,467888.7926406772
