Date,Monthly_Investment,Cumulative_Invested,Portfolio_Value,Profit_Loss,Return_on_Invested
2010-02-28,50000,50000,50000.0,0.0,0.0
2010-03-31,50000,100000,102940.33074595741,2940.3307459574135,0.029403307459574136
2010-04-30,50000,150000,155952.13019568817,5952.130195688165,0.03968086797125443
2010-05-31,50000,200000,190094.9207120105,-9905.079287989502,-0.04952539643994751
2010-06-30,50000,250000,249074.25134830739,-925.7486516926147,-0.0037029946067704588
2010-07-31,50000,300000,320756.83865438856,20756.838654388557,0.0691894621812952
2010-08-31,50000,350000,350574.2315298403,574.2315298403264,0.001640661513829504
2010-09-30,50000,400000,409377.11393656477,9377.113936564769,0.02344278484141192
2010-10-31,50000,450000,485313.3689161089,35313.36891610891,0.0784741531469087
2010-11-30,50000,500000,566847.3862591682,66847.38625916815,0.1336947725183363
2010-12-31,50000,550000,659420.5054644723,109420.50546447234,0.1989463735717679
2011-01-31,50000,600000,731029.286370024,131029.28637002397,0.21838214395003994
2011-02-28,50000,650000,720714.1524203637,70714.15242036374,0.10879100372363652
2011-03-31,50000,700000,807428.9012906856,107428.90129068564,0.15346985898669377
2011-04-30,50000,750000,878184.5106740715,128184.5106740715,0.170912680898762
2011-05-31,50000,800000,937015.9585655422,137015.95856554224,0.1712699482069278
2011-06-30,50000,850000,1020299.1737316895,170299.17373168946,0.20035196909610525
2011-07-31,50000,900000,1049872.8638631487,149872.86386314873,0.16652540429238746
2011-08-31,50000,950000,1007682.391769126,57682.39176912606,0.06071830712539585
2011-09-30,50000,1000000,1125600.7470138315,125600.74701383151,0.1256007470138315
2011-10-31,50000,1050000,1191050.5390886208,141050.5390886208,0.13433384675106744
2011-11-30,50000,1100000,1212589.9478509035,112589.9478509035,0.1023544980462759
2011-12-31,50000,1150000,1248564.8546870644,98564.85468706442,0.0857085692930995
2012-01-31,50000,1200000,1362636.1093162503,162636.1093162503,0.13553009109687525
2012-02-29,50000,1250000,1534645.3650352214,284645.36503522145,0.22771629202817717
2012-03-31,50000,1300000,1697624.7719981475,397624.7719981475,0.30586520922934424
2012-04-30,50000,1350000,1783772.1968811373,433772.1968811373,0.3213127384304721
