Date,Gross_Investment,Transaction_Cost,Net_Investment,Cumulative_Net_Invested,Cumulative_Transaction_Costs,Portfolio_Value,Profit_Loss,Return_on_Invested
2010-02-28,50000,105.0,49895.0,49895.0,105.0,49895.0,0.0,0.0
2010-03-31,50000,105.0,49895.0,99790.0,210.0,102724.15605139089,2934.1560513908917,0.02940330745957402
2010-04-30,50000,105.0,49895.0,149685.0,315.0,155624.63072227722,5939.630722277216,0.039680867971254405
2010-05-31,50000,105.0,49895.0,199580.0,420.0,189695.72137851527,-9884.27862148473,-0.049525396439947536
2010-06-30,50000,105.0,49895.0,249475.0,525.0,248551.19542047594,-923.8045795240614,-0.0037029946067704636
2010-07-31,50000,105.0,49895.0,299370.0,630.0,320083.24929321435,20713.24929321435,0.06918946218129522
2010-08-31,50000,105.0,49895.0,349265.0,735.0,349838.0256436277,573.0256436276832,0.0016406615138295653
2010-09-30,50000,105.0,49895.0,399160.0,840.0,408517.421997298,9357.42199729802,0.023442784841412018
2010-10-31,50000,105.0,49895.0,449055.0,945.0,484294.2108413851,35239.210841385124,0.07847415314690878
2010-11-30,50000,105.0,49895.0,498950.0,1050.0,565657.0067480239,66707.00674802391,0.13369477251833634
2010-12-31,50000,105.0,49895.0,548845.0,1155.0,658035.722402997,109190.72240299697,0.19894637357176792
2011-01-31,50000,105.0,49895.0,598740.0,1260.0,729494.124868647,130754.12486864696,0.21838214395004002
2011-02-28,50000,105.0,49895.0,648635.0,1365.0,719200.652700281,70565.652700281,0.10879100372363656
2011-03-31,50000,105.0,49895.0,698530.0,1470.0,805733.3005979753,107203.30059797526,0.15346985898669385
2011-04-30,50000,105.0,49895.0,748425.0,1575.0,876340.323201656,127915.32320165599,0.17091268089876205
2011-05-31,50000,105.0,49895.0,798320.0,1680.0,935048.2250525546,136728.22505255463,0.17126994820692784
2011-06-30,50000,105.0,49895.0,848215.0,1785.0,1018156.545466853,169941.54546685296,0.2003519690961053
2011-07-31,50000,105.0,49895.0,898110.0,1890.0,1047668.1308490362,149558.13084903616,0.16652540429238752
2011-08-31,50000,105.0,49895.0,948005.0,1995.0,1005566.258746411,57561.25874641095,0.060718307125395915
2011-09-30,50000,105.0,49895.0,997900.0,2100.0,1123236.9854451024,125336.98544510244,0.12560074701383148
2011-10-31,50000,105.0,49895.0,1047795.0,2205.0,1188549.3329565348,140754.3329565348,0.13433384675106755
2011-11-30,50000,105.0,49895.0,1097690.0,2310.0,1210043.5089604168,112353.50896041677,0.10235449804627607
2011-12-31,50000,105.0,49895.0,1147585.0,2415.0,1245942.868492222,98357.86849222193,0.08570856929309979
2012-01-31,50000,105.0,49895.0,1197480.0,2520.0,1359774.5734866865,162294.57348668645,0.13553009109687547
2012-02-29,50000,105.0,49895.0,1247375.0,2625.0,1531422.6097686477,284047.6097686477,0.22771629202817734
2012-03-31,50000,105.0,49895.0,1297270.0,2730.0,1694059.7599769516,396789.75997695164,0.3058652092293444
2012-04-30,50000,105.0,49895.0,1347165.0,2835.0,1780026.2752676872,432861.27526768716,0.32131273843047226
2012-05-31,50000,105.0,49895.0,1397060.0,2940.0,1812003.6758356849,414943.6758356849,0.2970120652195932
2012-06-30,50000,105.0,49895.0,1446955.0,3045.0,1872158.9119453277,425203.91194532765,0.29386118569363084
2012-07-31,50000,105.0,49895.0,1496850.0,3150.0,2036457.0086060695,539607.0086060695,0.3604950453325781
2012-08-31,50000,105.0,49895.0,1546745.0,3255.0,2210149.2271760986,663404.2271760986,0.42890342440162965
2012-09-30,50000,105.0,49895.0,1596640.0,3360.0,2277863.6550586876,681223.6550586876,0.4266607720329489
2012-10-31,50000,105.0,49895.0,1646535.0,3465.0,2407221.9882931868,760686.9882931868,0.46199260161076855
2012-11-30,50000,105.0,49895.0,1696430.0,3570.0,2569162.21641614,872732.2164161401,0.5144522417171001
2012-12-31,50000,105.0,49895.0,1746325.0,3675.0,2682514.4005581476,936189.4005581476,0.5360911631902123
2013-01-31,50000,105.0,49895.0,1796220.0,3780.0,2798556.3259360995,1002336.3259360995,0.5580253676810745
2013-02-28,50000,105.0,49895.0,1846115.0,3885.0,3013252.577262601,1167137.577262601,0.6322128238287436
2013-03-31,50000,105.0,49895.0,1896010.0,3990.0,3055218.1312748925,1159208.1312748925,0.6113934690612879
2013-04-30,50000,105.0,49895.0,1945905.0,4095.0,3279060.416244588,1333155.4162445879,0.6851081713879084
2013-05-31,50000,105.0,49895.0,1995800.0,4200.0,3837542.827259338,1841742.827259338,0.9228093131873625
2013-06-30,50000,105.0,49895.0,2045695.0,4305.0,3760456.894449643,1714761.8944496429,0.8382294987520832
2013-07-31,50000,105.0,49895.0,2095590.0,4410.0,4243012.047068134,2147422.047068134,1.0247338682987293
2013-08-31,50000,105.0,49895.0,2145485.0,4515.0,4101477.4215886085,1955992.4215886085,0.9116784417456233
2013-09-30,50000,105.0,49895.0,2195380.0,4620.0,4109079.637809287,1913699.6378092868,0.8716940291927989
2013-10-31,50000,105.0,49895.0,2245275.0,4725.0,4356355.311697868,2111080.3116978677,0.940232404359318
2013-11-30,50000,105.0,49895.0,2295170.0,4830.0,4719864.238968279,2424694.238968279,1.0564333966408934
2013-12-31,50000,105.0,49895.0,2345065.0,4935.0,4978721.410598934,2633656.4105989337,1.123063288479822
2014-01-31,50000,105.0,49895.0,2394960.0,5040.0,5353394.450586945,2958434.450586945,1.235275098785343
2014-02-28,50000,105.0,49895.0,2444855.0,5145.0,5226576.519086861,2781721.519086861,1.1377858887692158
2014-03-31,50000,105.0,49895.0,2494750.0,5250.0,5581113.727993845,3086363.727993845,1.237143492531855
2014-04-30,50000,105.0,49895.0,2544645.0,5355.0,6018930.12387658,3474285.12387658,1.3653319515596793
2014-05-31,50000,105.0,49895.0,2594540.0,5460.0,6269096.535211664,3674556.5352116637,1.4162651318583115
2014-06-30,50000,105.0,49895.0,2644435.0,5565.0,6329667.320285537,3685232.3202855373,1.3935802242390292
2014-07-31,50000,105.0,49895.0,2694330.0,5670.0,6550610.22118089,3856280.2211808898,1.4312575746775227
2014-08-31,50000,105.0,49895.0,2744225.0,5775.0,6250960.6270159,3506735.6270159,1.2778600978476253
2014-09-30,50000,105.0,49895.0,2794120.0,5880.0,6584511.140892431,3790391.140892431,1.3565598975321143
2014-10-31,50000,105.0,49895.0,2844015.0,5985.0,6809433.741788862,3965418.7417888623,1.3943030334892264
2014-11-30,50000,105.0,49895.0,2893910.0,6090.0,7075755.28359416,4181845.2835941603,1.4450502204955096
2014-12-31,50000,105.0,49895.0,2943805.0,6195.0,7370989.631934473,4427184.631934473,1.5038987405532884
2015-01-31,50000,105.0,49895.0,2993700.0,6300.0,7988276.468343913,4994576.468343913,1.6683623837872574
2015-02-28,50000,105.0,49895.0,3043595.0,6405.0,7885440.198522441,4841845.198522441,1.5908309740692967
2015-03-31,50000,105.0,49895.0,3093490.0,6510.0,7170055.113182757,4076565.113182757,1.3177883598080993
2015-04-30,50000,105.0,49895.0,3143385.0,6615.0,8086757.811267098,4943372.811267098,1.5726272191497697
2015-05-31,50000,105.0,49895.0,3193280.0,6720.0,8011383.156090291,4818103.156090291,1.5088257703960477
2015-06-30,50000,105.0,49895.0,3243175.0,6825.0,8425147.818167815,5181972.818167815,1.597808572823796
2015-07-31,50000,105.0,49895.0,3293070.0,6930.0,8844427.653105093,5551357.653105093,1.6857697082373266
2015-08-31,50000,105.0,49895.0,3342965.0,7035.0,8682224.878840202,5339259.878840202,1.5971629612754552
2015-09-30,50000,105.0,49895.0,3392860.0,7140.0,8158539.18560412,4765679.18560412,1.404620050813803
2015-10-31,50000,105.0,49895.0,3442755.0,7245.0,8747585.330054173,5304830.330054173,1.5408678021102789
2015-11-30,50000,105.0,49895.0,3492650.0,7350.0,8322316.204341633,4829666.204341633,1.3828085277201074
2015-12-31,50000,105.0,49895.0,3542545.0,7455.0,8555974.308518328,5013429.308518328,1.4152055396666317
2016-01-31,50000,105.0,49895.0,3592440.0,7560.0,8247073.675676508,4654633.675676508,1.295674715702004
2016-02-29,50000,105.0,49895.0,3642335.0,7665.0,8353561.298135962,4711226.298135962,1.2934632037239744
2016-03-31,50000,105.0,49895.0,3692230.0,7770.0,8915699.497708905,5223469.4977089055,1.4147194236840352
2016-04-30,50000,105.0,49895.0,3742125.0,7875.0,9434098.63074189,5691973.6307418905,1.521053847945189
2016-05-31,50000,105.0,49895.0,3792020.0,7980.0,9894089.129772784,6102069.129772784,1.6091869583421987
2016-06-30,50000,105.0,49895.0,3841915.0,8085.0,10464541.88973505,6622626.8897350505,1.723782772324492
2016-07-31,50000,105.0,49895.0,3891810.0,8190.0,11042034.706805885,7150224.706805885,1.837249173727876
2016-08-31,50000,105.0,49895.0,3941705.0,8295.0,11228089.411964448,7286384.411964448,1.8485362075458331
2016-09-30,50000,105.0,49895.0,3991600.0,8400.0,11537172.94313015,7545572.94313015,1.8903629980785024
2016-10-31,50000,105.0,49895.0,4041495.0,8505.0,11454475.149165735,7412980.149165735,1.8342173253129683
2016-11-30,50000,105.0,49895.0,4091390.0,8610.0,12344866.003118826,8253476.003118826,2.01727921393923
2016-12-31,50000,105.0,49895.0,4141285.0,8715.0,13961734.989564631,9820449.989564631,2.3713533334616264
2017-01-31,50000,105.0,49895.0,4191180.0,8820.0,14354887.0335958,10163707.0335958,2.4250227939615576
2017-02-28,50000,105.0,49895.0,4241075.0,8925.0,14404407.909629546,10163332.909629546,2.396404899613788
2017-03-31,50000,105.0,49895.0,4290970.0,9030.0,14407393.033316614,10116423.033316614,2.3576074951157
2017-04-30,50000,105.0,49895.0,4340865.0,9135.0,14867874.700220171,10527009.700220171,2.425094929287175
2017-05-31,50000,105.0,49895.0,4390760.0,9240.0,15377417.297373902,10986657.297373902,2.5022222342769593
2017-06-30,50000,105.0,49895.0,4440655.0,9345.0,14266856.785493976,9826201.785493976,2.2127820750528864
2017-07-31,50000,105.0,49895.0,4490550.0,9450.0,14211155.85122368,9720605.85122368,2.164680462576673
2017-08-31,50000,105.0,49895.0,4540445.0,9555.0,12833895.675309,8293450.675309001,1.8265722138048144
2017-09-30,50000,105.0,49895.0,4590340.0,9660.0,13319246.468585908,8728906.468585908,1.9015816842730404
2017-10-31,50000,105.0,49895.0,4640235.0,9765.0,12548179.576105094,7907944.576105094,1.7042120875570081
2017-11-30,50000,105.0,49895.0,4690130.0,9870.0,12780844.483359706,8090714.483359706,1.7250512210449829
2017-12-31,50000,105.0,49895.0,4740025.0,9975.0,13037477.025205437,8297452.025205437,1.7505080722581499
2018-01-31,50000,105.0,49895.0,4789920.0,10080.0,14306327.825947974,9516407.825947974,1.9867571537620616
2018-02-28,50000,105.0,49895.0,4839815.0,10185.0,14157313.082445592,9317498.082445592,1.9251764958878783
2018-03-31,50000,105.0,49895.0,4889710.0,10290.0,15036416.681370867,10146706.681370867,2.0751142054172678
2018-04-30,50000,105.0,49895.0,4939605.0,10395.0,15131513.475505793,10191908.475505793,2.063304348324571
2018-05-31,50000,105.0,49895.0,4989500.0,10500.0,14366720.432183517,9377220.432183517,1.87939080713168
2018-06-30,50000,105.0,49895.0,5039395.0,10605.0,14166873.7325498,9127478.7325498,1.8112251039162042
2018-07-31,50000,105.0,49895.0,5089290.0,10710.0,14554216.76196631,9464926.76196631,1.8597735169279626
2018-08-31,50000,105.0,49895.0,5139185.0,10815.0,14338298.891339503,9199113.891339503,1.7899946959176414
2018-09-30,50000,105.0,49895.0,5189080.0,10920.0,14196980.107809117,9007900.107809117,1.7359339435524441
2018-10-31,50000,105.0,49895.0,5238975.0,11025.0,14538607.583479913,9299632.583479913,1.7750862684933433
2018-11-30,50000,105.0,49895.0,5288870.0,11130.0,14250194.682493985,8961324.682493985,1.694374163572556
2018-12-31,50000,105.0,49895.0,5338765.0,11235.0,13151602.189099386,7812837.189099386,1.4634165746384016
2019-01-31,50000,105.0,49895.0,5388660.0,11340.0,14593951.518155813,9205291.518155813,1.70827098353873
2019-02-28,50000,105.0,49895.0,5438555.0,11445.0,14082938.240063902,8644383.240063902,1.5894632379490328
2019-03-31,50000,105.0,49895.0,5488450.0,11550.0,14050392.390940435,8561942.390940435,1.559992783197521
2019-04-30,50000,105.0,49895.0,5538345.0,11655.0,13482773.633447057,7944428.633447057,1.4344409085109462
2019-05-31,50000,105.0,49895.0,5588240.0,11760.0,13295968.732328348,7707728.732328348,1.3792766116573998
2019-06-30,50000,105.0,49895.0,5638135.0,11865.0,12636093.5132955,6997958.5132955,1.2411832127637064
2019-07-31,50000,105.0,49895.0,5688030.0,11970.0,12007931.861900354,6319901.861900354,1.1110879974086554
2019-08-31,50000,105.0,49895.0,5737925.0,12075.0,11255807.823612895,5517882.823612895,0.9616512630633713
2019-09-30,50000,105.0,49895.0,5787820.0,12180.0,12275585.396629456,6487765.396629456,1.120934202623692
2019-10-31,50000,105.0,49895.0,5837715.0,12285.0,13199593.452197121,7361878.452197121,1.2610890480602635
2019-11-30,50000,105.0,49895.0,5887610.0,12390.0,15283393.858374465,9395783.858374465,1.5958570384883621
2019-12-31,50000,105.0,49895.0,5937505.0,12495.0,15969690.931381274,10032185.931381274,1.6896298919127266
2020-01-31,50000,105.0,49895.0,5987400.0,12600.0,16446040.0576472,10458640.0576472,1.7467749035720346
2020-02-29,50000,105.0,49895.0,6037295.0,12705.0,15122057.035764027,9084762.035764027,1.5047735841571477
2020-03-31,50000,105.0,49895.0,6087190.0,12810.0,11736589.647602534,5649399.647602534,0.9280800578924814
2020-04-30,50000,105.0,49895.0,6137085.0,12915.0,13811045.90175835,7673960.90175835,1.2504244118760537
2020-05-31,50000,105.0,49895.0,6186980.0,13020.0,13850771.434120422,7663791.434120422,1.2386966555767793
2020-06-30,50000,105.0,49895.0,6236875.0,13125.0,14165617.839725778,7928742.8397257775,1.2712685182444377
2020-07-31,50000,105.0,49895.0,6286770.0,13230.0,16282417.241367497,9995647.241367497,1.5899495673243171
2020-08-31,50000,105.0,49895.0,6336665.0,13335.0,17179741.09777285,10843076.097772852,1.7111644844366638
2020-09-30,50000,105.0,49895.0,6386560.0,13440.0,17081632.196168687,10695072.196168687,1.6746217362975824
2020-10-31,50000,105.0,49895.0,6436455.0,13545.0,16920376.810040288,10483921.810040288,1.6288347871678257
2020-11-30,50000,105.0,49895.0,6486350.0,13650.0,17551645.9617339,11065295.9617339,1.7059356898307831
2020-12-31,50000,105.0,49895.0,6536245.0,13755.0,18836842.959243923,12300597.959243923,1.8819058892749465
2021-01-31,50000,105.0,49895.0,6586140.0,13860.0,20111971.540969897,13525831.540969897,2.0536811457044486
2021-02-28,50000,105.0,49895.0,6636035.0,13965.0,20027041.383826215,13391006.383826215,2.017922808397818
2021-03-31,50000,105.0,49895.0,6685930.0,14070.0,19607795.34610888,12921865.34610888,1.9326952789079275
2021-04-30,50000,105.0,49895.0,6735825.0,14175.0,19603583.69081284,12867758.690812841,1.9103463481923657
2021-05-31,50000,105.0,49895.0,6785720.0,14280.0,21362193.901741583,14576473.901741583,2.148110134479699
2021-06-30,50000,105.0,49895.0,6835615.0,14385.0,21267605.667869586,14431990.667869586,2.111293668217064
2021-07-31,50000,105.0,49895.0,6885510.0,14490.0,21279131.404294673,14393621.404294673,2.090421973723758
2021-08-31,50000,105.0,49895.0,6935405.0,14595.0,21592327.08614346,14656922.08614346,2.1133476828164266
2021-09-30,50000,105.0,49895.0,6985300.0,14700.0,20586960.598005485,13601660.598005485,1.9471834564020851
2021-10-31,50000,105.0,49895.0,7035195.0,14805.0,21339668.564089153,14304473.564089153,2.033273216177967
2021-11-30,50000,105.0,49895.0,7085090.0,14910.0,20954910.601767488,13869820.601767488,1.9576068337547565
