Date,Monthly_Investment,Cumulative_Invested,Portfolio_Value,Profit_Loss,Return_on_Invested
2017-05-31,50000,50000,50000.0,0.0,0.0
2017-06-30,50000,100000,96226.75417646985,-3773.2458235301456,-0.037732458235301455
2017-07-31,50000,150000,145514.53324639128,-4485.466753608722,-0.02990311169072481
2017-08-31,50000,200000,180901.23778559215,-19098.76221440785,-0.09549381107203925
2017-09-30,50000,250000,237039.2409295832,-12960.759070416796,-0.051843036281667185
2017-10-31,50000,300000,272428.7909852308,-27571.209014769178,-0.09190403004923059
2017-11-30,50000,350000,326396.83946269064,-23603.160537309363,-0.0674376015351696
2017-12-31,50000,400000,381676.49687066453,-18323.50312933547,-0.045808757823338674
2018-01-31,50000,450000,467361.83529681264,17361.835296812642,0.0385818562151392
2018-02-28,50000,500000,510863.814007724,10863.814007723995,0.02172762801544799
2018-03-31,50000,550000,590785.6406275101,40785.64062751015,0.07415571023183663
2018-04-30,50000,600000,642561.633636443,42561.633636442944,0.07093605606073825
2018-05-31,50000,650000,657965.8028315048,7965.802831504843,0.01225508127923822
2018-06-30,50000,700000,696528.1543663826,-3471.8456336173695,-0.004959779476596242
2018-07-31,50000,750000,763119.1156159365,13119.115615936462,0.01749215415458195
2018-08-31,50000,800000,799181.7883059467,-818.2116940532578,-0.0010227646175665723
2018-09-30,50000,850000,838523.9986595849,-11476.001340415096,-0.013501178047547172
2018-10-31,50000,900000,905754.7533821176,5754.753382117604,0.006394170424575116
2018-11-30,50000,950000,934678.1827638338,-15321.817236166215,-0.016128228669648647
2018-12-31,50000,1000000,909348.25028426,-90651.74971573998,-0.09065174971573997
2019-01-31,50000,1050000,1055627.463228954,5627.463228954002,0.005359488789480002
2019-02-28,50000,1100000,1065055.1629873326,-34944.83701266744,-0.031768033647879494
2019-03-31,50000,1150000,1108820.3808343995,-41179.61916560051,-0.03580836449182653
2019-04-30,50000,1200000,1110087.8030740954,-89912.1969259046,-0.07492683077158717
2019-05-31,50000,1250000,1140599.4039980408,-109400.59600195917,-0.08752047680156734
