ticker,name,sector,price,tr_cagr_5y,volatility,max_drawdown,beta,avg_volume,data_points,dividend_yield,years_without_div_cut,div_growth_5y,pe,pb,roe,fetch_date
MEBL,Meezan Bank Limited,Commercial Banks,541.7100219726562,0.47566179768920236,0.35162961023844247,0.33140540284305037,1.7581480511922123,478508316.45509034,1283,0.054457179678113955,15.0,0.3257378331857512,4.6740026,1.4553175,0.3175536093439273,2026-09-20
HBL,Habib Bank Limited,Commercial Banks,294.1499938964844,0.30563773635705416,0.3753267816871577,0.49264833426130433,1.8766339084357886,434834758.7173218,1283,0.07819140056856173,14.0,0.168863268921301,3.1023052,0.42823288,0.1370100646293174,2026-09-20
UBL,United Bank Limited,Commercial Banks,419.8299865722656,0.39891329790142005,0.41393890168881403,0.5602876286470576,2.06969450844407,497137634.2373444,1284,0.07622133011809488,14.0,0.1742499638681958,4.300696,1.2327323,0.2573127202804223,2026-09-20
MCB,MCB Bank Limited,Commercial Banks,390.010009765625,0.3810512919549196,0.22877583115059838,0.24600390559085256,1.143879155752992,103980152.6929362,1283,0.0923053231932023,15.0,-0.014190149921543771,4.7041264,0.80446196,0.173642226253211,2026-09-20
BAFL,Bank Alfalah Limited,Commercial Banks,55.47999954223633,0.1977960553589171,0.36485391462372635,0.5746553144038722,1.8242695731186316,142255142.4315908,1283,0.10364095254944238,15.0,0.17607902252467356,6.6472397,1.0422946,0.1388648607122095,2026-09-20
OGDC,Oil and Gas Development Company,Oil and Gas Exploration,314.1400146484375,0.39592750639297325,0.2881195302542698,0.306228673138618,1.4405976512713488,1064357459.266622,1283,0.05093270278829658,12.0,0.02434894295516754,2.3406105,0.40301704,,2026-09-20
PPL,Pakistan Petroleum Limited,Oil and Gas Exploration,218.02999877929688,0.28523785548078373,0.4238107116934989,0.40073164150853907,2.119053558467494,1288068673.023047,1283,0.03898546093468639,11.0,0.027066087089351765,3.9868968,0.42124668,0.1802274444740578,2026-09-20
MARI,Mari Petroleum,Oil and Gas Exploration,640.4299926757812,-0.1452980774360766,0.5499108043061083,0.8931167826224281,2.749554021530541,392532244.37250775,1283,0.01296004261968082,16.0,-0.119315615317655,37.175926,10.014817,0.2693798547439465,2026-09-20
POL,Pakistan Oilfields Limited,Oil and Gas Exploration,733.4199829101562,0.3154687087685064,0.20825593390219324,0.2953613952648748,1.041279669510966,228775181.875177,1283,0.10566933245053636,13.0,-0.11269579863367396,5.7244296,1.6482084,0.4334933551899771,2026-09-20
FFC,Fauji Fertilizer Company,Fertilizer,531.760009765625,0.5595843249339538,0.2600660495121133,0.2885290781175347,1.3003302475605665,343842793.3919108,1283,0.07710245081812543,15.0,0.18910152230876331,2.6628137,0.85940087,0.3200511564238337,2026-09-20
EFERT,Engro Fertilizers,Fertilizer,188.22000122070312,0.3776563295500248,0.2723188348885104,0.3168541472686799,1.361594174442552,135515038.01488444,1284,0.0650834126052092,8.0,-0.12944943670387588,10.651192,5.1623693,0.5056858257933149,2026-09-20
FATIMA,Fatima Fertilizer,Fertilizer,146.72000122070312,0.5102328082800842,0.3184504972776658,0.34168840416328367,1.5922524863883287,104459280.69842936,1283,0.017039258309706408,12.0,,2.440553,0.6009986,0.2476033211945826,2026-09-20
LUCK,Lucky Cement,Cement,403.9200134277344,-0.1089843619573817,1.9958761388285131,0.8172474188827051,9.979380694142565,418827597.07531536,1283,0.012378688437765547,14.0,inf,14.928454,3.1029603,0.2215834126468522,2026-09-20
MLCF,Maple Leaf Cement,Cement,91.31999969482422,0.2008484143063083,0.37429994065555455,0.516620820696731,1.8714997032777727,889688643.2868131,1283,,3.0,,3.243386,0.46419466,0.1431776657241549,2026-09-20
FCCL,Fauji Cement,Cement,52.38999938964844,0.2848039174678183,0.3766420884317957,0.44980223721793916,1.8832104421589784,253857044.80719298,1283,0.023859515452618676,10.0,inf,3.3348486,0.552446,0.1581328212024538,2026-09-20
DGKC,D.G. Khan Cement,Cement,190.2400054931641,0.161035982709824,0.44652804056311746,0.5815635980555524,2.232640202815587,583505064.3419929,1283,0.010513035861281377,10.0,inf,3.1837916,0.3140042,,2026-09-20
KOHC,Kohat Cement,Cement,90.70999908447266,-0.12380372058579525,0.48399016156640173,0.8388483780793046,2.4199508078320084,23934628.482763417,1284,,5.0,0.10197250811606984,25.043356,4.412468,0.2413743520887098,2026-09-20
HUBC,Hub Power Company,Power Generation,202.25,0.4321045248343862,0.3692273696281795,0.3817344632692043,1.8461368481408973,805617665.3833333,1283,0.12360939431396786,12.0,0.04563955259127317,4.006796,0.8450145,,2026-09-20
KAPCO,Kot Addu Power,Power Generation,25.989999771118164,0.1912007766794912,0.31027521448068884,0.3381582865192424,1.5513760724034442,18975401.060225803,1283,0.15390534956622312,13.0,-0.2931382742568599,17.347593,0.51832676,,2026-09-20
PSO,Pakistan State Oil,Oil and Gas Marketing,339.5400085449219,0.1602929686184662,0.4729732208155893,0.46512673861961606,2.3648661040779464,1111500402.712209,1283,0.029451610261937596,10.0,inf,1.7517793,0.26167983,0.0756308495168478,2026-09-20
APL,Attock Petroleum,Oil and Gas Marketing,574.75,0.27427578612860226,0.25022910080264854,0.31084769243390076,1.2511455040132426,37313440.541666664,1283,0.05741626794258373,13.0,-0.015274353645740923,2.9198804,0.67511374,,2026-09-20
SYS,Systems Limited,Technology,121.9499969482422,-0.20264804287997773,0.4815147632006027,0.8458666525634619,2.4075738160030133,177100557.8781179,1284,0.016400164412048626,12.0,0.41707354463808577,57.623245,10.750811,0.2272896584763745,2026-09-20
TRG,TRG Pakistan,Technology,49.09000015258789,-0.22441265564585822,0.5433856090053306,0.7665789946349113,2.716928045026653,116326235.04124692,1283,,,,,0.9117214,-0.9267585244578828,2026-09-20
AVN,Avanceon,Technology,28.350000381469727,-0.19894507196160371,0.37132345698109526,0.6895194421847209,1.8566172849054763,15123014.753491083,1288,0.035273368132073296,8.0,0.09597366061201895,125.51851,1.9915378,,2026-09-20
INDU,Indus Motor Company,Automobile,1815.8399658203125,0.16668473688641572,0.2767571243114429,0.42503566844661067,1.3837856215572144,133027891.14400634,1283,0.10904044614446667,14.0,-0.05096935185133844,5.218497,1.5316935,0.2990106589978111,2026-09-20
MTL,Millat Tractors,Automobile,300.45001220703125,0.022840254412846983,0.3447235777508535,0.5999459407722132,1.7236178887542675,61103340.21257731,1283,0.05824596202026867,13.0,-0.08109477356430461,33.482296,32.06319,,2026-09-20
NESTLE,Nestle Pakistan,Food and Personal Care,7499.58984375,0.10424870323644897,0.22008798405663182,0.24862493664830013,1.100439920283159,1866397.92578125,1285,0.0729373220931353,12.0,0.12872092269576818,18.906883,16.177082,0.8107874628287463,2026-09-20
PKGS,Packages Limited,Paper and Board,711.9400024414062,0.12154001657955793,0.32131210369396423,0.33063383016791525,1.606560518469821,4267937.926635742,1283,0.022473803895177002,13.0,-0.06591264509773154,15.366477,0.7025796,-0.0275569321987931,2026-09-20
EPCL,Engro Polymer,Chemicals,32.70000076293945,-0.008296139345093989,0.3261631531551181,0.607422773590731,1.6308157657755906,23370058.345258076,1283,,4.0,0.021295687600135116,70.39344,1.7718908,-0.1665948123705404,2026-09-20
LOTCHEM,Lotte Chemical,Chemicals,24.56999969482422,0.27835172275351594,0.40980835490781287,0.4304907531545844,2.0490417745390643,120201020.81202316,1283,0.26455026783615526,12.0,0.23636347834823446,5.658065,1.3100307,0.0475491512385649,2026-09-20
